City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,66,1,14.97,clear sky
321,Outjo,NA,-20.1167,16.15,93.81,15,88,3.09,overcast clouds
322,Mporokoso,ZM,-9.3727,30.125,65.93,85,75,5.01,light rain
323,Axim,GH,4.8699,-2.2405,83.7,69,22,11.12,few clouds
324,Omboue,GA,-1.5746,9.2618,82.15,76,100,3.65,overcast clouds
325,Shimanovsk,RU,52.0,127.7,14.14,91,9,8.55,clear sky
326,Pontal Do Parana,BR,-25.6533,-48.5128,79.74,52,75,6.91,broken clouds
327,Acarau,BR,-2.8856,-40.12,89.74,54,12,19.04,few clouds
328,Ponta Do Sol,PT,32.6667,-17.1,69.01,69,79,5.61,broken clouds
329,Yar-Sale,RU,66.8333,70.8333,17.74,79,100,26.19,overcast clouds
330,Agadez,NE,19.75,10.25,63.28,12,1,5.75,clear sky
331,Yeppoon,AU,-23.1333,150.7333,76.78,85,89,3.67,overcast clouds
332,Rapid Valley,US,44.0625,-103.1463,46.15,62,1,1.99,clear sky
333,Mariental,NA,-24.6333,17.9667,98.62,6,1,13.76,clear sky
334,Syracuse,IT,37.0881,15.2792,63.99,72,71,13.27,broken clouds
335,Manokwari,ID,-0.8667,134.0833,79.34,80,100,3.15,overcast clouds
336,Odienne,CI,9.51,-7.5692,95.56,13,16,5.17,few clouds
337,Harper,LR,4.375,-7.7169,84.49,68,74,10.85,broken clouds
338,Valleyview,CA,55.0667,-117.2859,32.04,86,100,13.8,overcast clouds
339,Adrar,MR,20.5022,-10.0711,77.56,8,58,15.01,broken clouds
340,Caravelas,BR,-17.7125,-39.2481,80.76,77,93,1.12,light rain
341,Pinerovka,RU,51.562,43.0689,37.42,85,100,14.05,overcast clouds
342,Haines Junction,CA,60.7522,-137.5108,10.35,72,100,2.3,overcast clouds
343,Bafoulabe,ML,13.8065,-10.8321,99.27,8,21,6.31,few clouds
